小区,户型,面积,地段,单价,总价,楼层,建成时间,有地铁
万科假日风景 , 3室1厅 , 132.13平米 ,万科假日,14002.0,185.0,18,2008,False
桃山小区 , 2室2厅 , 71.57平米 ,孙家沟,8943.0,64.0,7,1998,False
西山阳光水岸 , 3室2厅 , 143.21平米 ,万科假日,12919.0,185.0,5,2007,False
加州洋房 , 4室1厅 , 71.95平米 ,华南,17513.0,126.0,5,2008,True
龙畔锦城 , 2室2厅 , 89.75平米 ,华府,14708.0,132.0,21,2009,False
幸福e家五期 , 2室1厅 , 93.69平米 ,幸福e家,32555.0,305.0,9,2008,True
晶品缘林 , 3室2厅 , 119.93平米 ,万科假日,13759.0,165.0,19,2008,False
八十中 , 2室1厅 , 62.88平米 ,大纺,10656.0,67.0,7,1993,False
海昌华城 , 2室2厅 , 156.19平米 ,武昌街,15687.0,245.0,5,1997,False
逸林派 , 2室2厅 , 84.31平米 ,万科假日,13641.0,115.0,9,2011,False
凌秀小区 , 2室1厅 , 60.05平米 ,凌水,13323.0,80.0,6,1999,False
盛世闲庭 , 2室2厅 , 82.73平米 ,山东路,13176.0,109.0,6,2003,True
水映西山 , 2室2厅 , 86.55平米 ,万科假日,11670.0,101.0,18,2008,False
万科魅力之城 , 3室2厅 , 89.94平米 ,魅力之城,14455.0,130.0,9,2012,False
水畔香谷 , 2室2厅 , 90.58平米 ,西山水库,12696.0,115.0,25,2007,True
菁英汇 , 1室1厅 , 40.86平米 ,万达,18845.0,77.0,18,2007,True
嘉安边防家园 , 2室2厅 , 104平米 ,美林园,9424.0,98.0,15,2009,False
万科魅力之城 , 3室2厅 , 86.68平米 ,魅力之城,12552.0,108.8,23,2012,False
缇香漫城 , 2室2厅 , 88.24平米 ,第五郡,18360.0,162.0,9,2013,False
大连门小区 , 2室1厅 , 69.76平米 ,周水子,15052.0,105.0,7,2000,False
龙畔锦城 , 2室1厅 , 90.78平米 ,华府,15367.0,139.5,21,2009,False
锦华中园 , 2室2厅 , 89.76平米 ,锦绣,12255.0,110.0,7,2001,True
逸林派 , 2室2厅 , 89平米 ,万科假日,14607.0,130.0,9,2011,False
金海花园西园 , 4室2厅 , 141.56平米 ,香炉礁,10950.0,155.0,6,2001,True
泡崖四区 , 2室1厅 , 69.89平米 ,泡崖四区,10016.0,70.0,6,2002,False
金色阳光家园 , 2室2厅 , 87.31平米 ,锦泉源,10881.0,95.0,5,2002,False
千山心城 , 2室1厅 , 84.67平米 ,山东路,12402.0,105.0,7,2004,False
顺达温泉花园二期 , 2室1厅 , 61.51平米 ,溪之谷,10568.0,65.0,5,2004,False
鹏辉新世纪 , 2室2厅 , 89.76平米 ,鹏辉,17269.0,155.0,6,2004,False
王家桥 , 2室0厅 , 46.59平米 ,促进路,14381.0,67.0,6,1993,True
