小区,户型,面积,地段,单价,总价,楼层,建成时间,有地铁
万科假日风景 , 3室1厅 , 132.13平米 ,万科假日,14002,185,18,2008,False
西山阳光水岸 , 3室2厅 , 143.21平米 ,万科假日,12919,185,5,2007,False
晶品缘林 , 3室2厅 , 119.93平米 ,万科假日,13759,165,19,2008,False
桃山小区 , 2室2厅 , 71.57平米 ,孙家沟,8943,64,7,1998,False
加州洋房 , 4室1厅 , 71.95平米 ,华南,17513,126,5,2008,True
龙畔锦城 , 2室2厅 , 89.75平米 ,华府,14708,132,21,2009,False
幸福e家五期 , 2室1厅 , 93.69平米 ,幸福e家,32555,305,9,2008,True
海昌华城 , 2室2厅 , 156.19平米 ,武昌街,15687,245,5,1997,False
凌秀小区 , 2室1厅 , 60.05平米 ,凌水,13323,80,6,1999,False
金盛家园 , 3室1厅 , 66.47平米 ,大纺,13089,87,7,2001,True
顺达温泉花园二期 , 2室1厅 , 61.51平米 ,溪之谷,10568,65,5,2004,False
嘉安边防家园 , 2室2厅 , 104平米 ,美林园,9424,98,15,2009,False
大连门小区 , 2室1厅 , 69.76平米 ,周水子,15052,105,7,2000,False
锦华中园 , 2室2厅 , 89.76平米 ,锦绣,12255,110,7,2001,True
万科魅力之城 , 3室2厅 , 89.94平米 ,魅力之城,14455,130,9,2012,False
逸林派 , 2室2厅 , 89平米 ,万科假日,14607,130,9,2011,False
金海花园西园 , 4室2厅 , 141.56平米 ,香炉礁,10950,155,6,2001,True
金色阳光家园 , 2室2厅 , 87.31平米 ,锦泉源,10881,95,5,2002,False
水畔香谷 , 2室2厅 , 90.58平米 ,西山水库,12696,115,25,2007,True
府佳名都 , 2室2厅 , 70.55平米 ,促进路,15876,112,7,2002,False
缇香漫城 , 2室2厅 , 88.24平米 ,第五郡,18360,162,9,2013,False
泊林阳光A区 , 2室1厅 , 59.51平米 ,叠翠,11427,68,6,2007,False
马栏小学南 , 2室1厅 , 54.39平米 ,马栏,10113,55,6,1995,True
幸福e家五期 , 4室2厅 , 91.17平米 ,幸福e家,37293,340,14,2009,True
玉浓街 , 2室1厅 , 72.58平米 ,泡崖八区,9921,72,6,2002,False
万科溪之谷 , 3室1厅 , 92.36平米 ,溪之谷,10828,100,26,2011,False
中体奥林匹克花园 , 2室1厅 , 90.11平米 ,溪之谷,10654,96,15,2010,False
泡崖四区 , 2室1厅 , 69.89平米 ,泡崖四区,10016,70,6,2002,False
青松南里 , 3室2厅 , 123.34平米 ,红梅翠竹,5514,68,32,2003,False
泡崖美林园 , 2室2厅 , 72.3平米 ,美林园,10927,79,6,2003,False
华润置地广场一期 , 3室1厅 , 118.56平米 ,华南,17713,210,33,2013,True
万奕学院派 , 1室1厅 , 42.78平米 ,软件园,24545,105,13,2010,False
新星帕尔美娜 , 3室2厅 , 111.89平米 ,辛寨子,11440,128,5,2009,False
万国宫馆一期 , 2室1厅 , 87.19平米 ,红梅翠竹,12387,108,32,2009,False
亲亲家园 , 1室1厅 , 54.19平米 ,西山水库,13103,71,12,2004,True
北府花园 , 2室2厅 , 99.1平米 ,华南,15137,150,11,2007,True
鹏辉新世纪 , 2室2厅 , 87.66平米 ,鹏辉,17682,155,5,2009,False
祥和园 , 2室1厅 , 89.49平米 ,西山水库,13410,120,5,2002,True
西郊棠梨园 , 2室2厅 , 77.53平米 ,溪之谷,9932,77,5,2007,False
刘家桥 , 1室1厅 , 37.07平米 ,春柳,10251,38,6,1989,False
鹏辉新世纪 , 2室2厅 , 93.44平米 ,鹏辉,16589,155,9,2003,False
东城天下 , 3室2厅 , 114.55平米 ,东城,8294,95,6,2005,False
幸福e家三期 , 2室1厅 , 73.04平米 ,幸福e家,38062,278,10,2004,True
实验小学英华街 , 3室1厅 , 98.71平米 ,英华街,17020,168,6,1990,True
泉水人家幸福里 , 3室2厅 , 133.75平米 ,美域盛景,10916,146,5,2009,False
泡崖七区 , 2室2厅 , 88.52平米 ,泡崖市场,9942,88,7,2000,False
小区,户型,面积,地段,单价,总价,楼层,建成时间,有地铁
