小区,户型,面积,地段,单价,总价,楼层,建成时间,有地铁
万科假日风景 , 3室1厅 , 132.13平米 ,万科假日,14002.0,185.0,18,2008,False
桃山小区 , 2室2厅 , 71.57平米 ,孙家沟,8943.0,64.0,7,1998,False
西山阳光水岸 , 3室2厅 , 143.21平米 ,万科假日,12919.0,185.0,5,2007,False
晶品缘林 , 3室2厅 , 119.93平米 ,万科假日,13759.0,165.0,19,2008,False
龙畔锦城 , 2室2厅 , 89.75平米 ,华府,14708.0,132.0,21,2009,False
加州洋房 , 4室1厅 , 71.95平米 ,华南,17513.0,126.0,5,2008,True
幸福e家五期 , 2室1厅 , 93.69平米 ,幸福e家,32555.0,305.0,9,2008,True
海昌华城 , 2室2厅 , 156.19平米 ,武昌街,15687.0,245.0,5,1997,False
凌秀小区 , 2室1厅 , 60.05平米 ,凌水,13323.0,80.0,6,1999,False
金盛家园 , 3室1厅 , 66.47平米 ,大纺,13089.0,87.0,7,2001,True
水映西山 , 2室2厅 , 86.55平米 ,万科假日,11670.0,101.0,18,2008,False
顺达温泉花园二期 , 2室1厅 , 61.51平米 ,溪之谷,10568.0,65.0,5,2004,False
万科魅力之城 , 3室2厅 , 86.68平米 ,魅力之城,12552.0,108.8,23,2012,False
嘉安边防家园 , 2室2厅 , 104平米 ,美林园,9424.0,98.0,15,2009,False
龙畔锦城 , 2室1厅 , 90.78平米 ,华府,15367.0,139.5,21,2009,False
大连门小区 , 2室1厅 , 69.76平米 ,周水子,15052.0,105.0,7,2000,False
锦华中园 , 2室2厅 , 89.76平米 ,锦绣,12255.0,110.0,7,2001,True
逸林派 , 2室2厅 , 89平米 ,万科假日,14607.0,130.0,9,2011,False
万科魅力之城 , 3室2厅 , 89.94平米 ,魅力之城,14455.0,130.0,9,2012,False
金海花园西园 , 4室2厅 , 141.56平米 ,香炉礁,10950.0,155.0,6,2001,True
金色阳光家园 , 2室2厅 , 87.31平米 ,锦泉源,10881.0,95.0,5,2002,False
水畔香谷 , 2室2厅 , 90.58平米 ,西山水库,12696.0,115.0,25,2007,True
府佳名都 , 2室2厅 , 70.55平米 ,促进路,15876.0,112.0,7,2002,False
万科朗润园 , 3室2厅 , 90.61平米 ,魅力之城,12339.0,111.8,11,2015,False
缇香漫城 , 2室2厅 , 88.24平米 ,第五郡,18360.0,162.0,9,2013,False
泊林阳光A区 , 2室1厅 , 59.51平米 ,叠翠,11427.0,68.0,6,2007,False
马栏小学南 , 2室1厅 , 54.39平米 ,马栏,10113.0,55.0,6,1995,True
万科魅力之城 , 3室2厅 , 86.68平米 ,魅力之城,12899.0,111.8,23,2012,False
玉浓街 , 2室1厅 , 72.58平米 ,泡崖八区,9921.0,72.0,6,2002,False
幸福e家五期 , 4室2厅 , 91.17平米 ,幸福e家,37293.0,340.0,14,2009,True
中体奥林匹克花园 , 2室1厅 , 90.11平米 ,溪之谷,10654.0,96.0,15,2010,False
万科溪之谷 , 3室1厅 , 92.36平米 ,溪之谷,10828.0,100.0,26,2011,False
泡崖四区 , 2室1厅 , 69.89平米 ,泡崖四区,10016.0,70.0,6,2002,False
青松南里 , 3室2厅 , 123.34平米 ,红梅翠竹,5514.0,68.0,32,2003,False
泡崖美林园 , 2室2厅 , 72.3平米 ,美林园,10927.0,79.0,6,2003,False
华润置地广场一期 , 3室1厅 , 118.56平米 ,华南,17713.0,210.0,33,2013,True
泡崖美林园 , 2室1厅 , 69.79平米 ,美林园,9816.0,68.5,7,2003,False
万奕学院派 , 1室1厅 , 42.78平米 ,软件园,24545.0,105.0,13,2010,False
万科溪之谷 , 2室2厅 , 105.08平米 ,溪之谷,10326.0,108.5,27,2007,False
泡崖三区 , 2室1厅 , 52.17平米 ,泡崖市场,9105.0,47.5,7,1995,False
孙家沟 , 3室1厅 , 83.49平米 ,孙家沟,10241.0,85.5,6,1990,False
万国宫馆一期 , 2室1厅 , 87.19平米 ,红梅翠竹,12387.0,108.0,32,2009,False
亿锋现代城 , 1室1厅 , 47.67平米 ,安盛,8182.0,39.0,34,2006,True
新星帕尔美娜 , 3室2厅 , 111.89平米 ,辛寨子,11440.0,128.0,5,2009,False
亲亲家园 , 1室1厅 , 54.19平米 ,西山水库,13103.0,71.0,12,2004,True
八十中 , 2室1厅 , 73.37平米 ,大纺,11149.0,81.8,7,1993,False
泡崖康居园 , 3室2厅 , 112.95平米 ,泡崖八区,10253.0,115.8,6,2002,False
北府花园 , 2室2厅 , 99.1平米 ,华南,15137.0,150.0,11,2007,True
鹏辉新世纪 , 2室2厅 , 87.66平米 ,鹏辉,17682.0,155.0,5,2009,False
祥和园 , 2室1厅 , 89.49平米 ,西山水库,13410.0,120.0,5,2002,True
西郊棠梨园 , 2室2厅 , 77.53平米 ,溪之谷,9932.0,77.0,5,2007,False
刘家桥 , 1室1厅 , 37.07平米 ,春柳,10251.0,38.0,6,1989,False
泡崖美林园 , 2室1厅 , 69.07平米 ,美林园,10931.0,75.5,7,2003,False
东城天下 , 3室2厅 , 114.55平米 ,东城,8294.0,95.0,6,2005,False
实验小学英华街 , 3室1厅 , 98.71平米 ,英华街,17020.0,168.0,6,1990,True
泡崖七区 , 2室2厅 , 88.52平米 ,泡崖市场,9942.0,88.0,7,2000,False
泉水人家幸福里 , 3室2厅 , 133.75平米 ,美域盛景,10916.0,146.0,5,2009,False
弘基三期 , 3室1厅 , 143.42平米 ,学府,18687.0,268.0,6,2005,True
鹏辉新世纪 , 2室2厅 , 93.44平米 ,鹏辉,16589.0,155.0,9,2003,False
幸福e家三期 , 2室1厅 , 73.04平米 ,幸福e家,38062.0,278.0,10,2004,True
泡崖七区 , 2室2厅 , 88.52平米 ,泡崖市场,9772.0,86.5,7,2000,False
青云映山 , 2室2厅 , 113.68平米 ,青云街,19793.0,225.0,24,2005,False
东北明珠 , 2室2厅 , 86.9平米 ,安盛,10933.0,95.0,30,2007,True
西山阳光水岸 , 3室2厅 , 113.24平米 ,万科假日,14571.0,165.0,5,2007,False
远洋风景 , 3室2厅 , 129.91平米 ,华府,30791.0,400.0,8,2008,True
万福居 , 1室2厅 , 66.22平米 ,鹏辉,15404.0,102.0,12,2006,False
水映西山 , 2室1厅 , 47.7平米 ,万科假日,20965.0,100.0,18,2008,False
鹏辉新世纪 , 2室2厅 , 89.77平米 ,鹏辉,17267.0,155.0,6,2003,False
万科城市花园 , 3室2厅 , 114.59平米 ,绿波,17978.0,206.0,9,2005,False
锦霞北园 , 6室2厅 , 174.6平米 ,锦绣,7704.0,134.5,6,1999,True
西山阳光水岸 , 2室1厅 , 93平米 ,万科假日,14947.0,139.0,5,2007,False
泡崖新六区 , 2室1厅 , 69.15平米 ,泡崖市场,9371.0,64.8,7,2004,False
